uid,iid,label
5,1199,1
5,25315,1
5,4322,1
5,3302,1
12,16945,1
12,11855,1
12,72,1
12,2098,1
15,25374,1
15,9581,1
15,506,1
15,1938,1
27,8394,1
27,3326,1
27,26825,1
27,3335,1
41,8372,1
41,2751,1
41,4328,1
41,4329,1
41,5488,1
57,25113,1
57,6486,1
57,1915,1
57,7247,1
57,27,1
78,11592,1
78,22632,1
78,13135,1
78,20652,1
81,11132,1
81,2750,1
81,22070,1
81,414,1
98,9152,1
98,11508,1
98,4283,1
98,13117,1
122,4599,1
122,1176,1
122,506,1
122,1938,1
122,4883,1
181,8734,1
181,6635,1
181,11579,1
181,594,1
190,320,1
190,3024,1
190,25142,1
190,1390,1
195,27,1
195,5514,1
195,2270,1
195,7932,1
195,2190,1
219,5121,1
219,12830,1
219,2094,1
219,3156,1
219,7932,1
249,21839,1
249,21840,1
249,21841,1
249,14866,1
249,9390,1
260,373,1
260,2184,1
260,8862,1
260,2126,1
266,23157,1
266,20960,1
266,23632,1
266,4113,1
268,5343,1
268,2664,1
268,1998,1
268,4233,1
268,9132,1
314,18398,1
314,4283,1
314,4074,1
314,1814,1
326,61,1
326,2853,1
326,8890,1
326,3321,1
357,25239,1
357,19476,1
357,16082,1
357,640,1
380,26219,1
380,18066,1
380,1994,1
380,596,1
380,17415,1
387,6725,1
387,6723,1
387,3331,1
387,6473,1
392,17346,1
392,23642,1
392,10590,1
392,10570,1
393,22103,1
393,10573,1
393,23690,1
393,3352,1
407,56,1
407,4269,1
407,76,1
407,4366,1
407,6358,1
411,9979,1
411,374,1
411,8680,1
411,22717,1
414,26583,1
414,6896,1
414,4410,1
414,6368,1
416,8221,1
416,3317,1
416,9793,1
416,12477,1
421,24673,1
421,619,1
421,1361,1
421,16732,1
425,14774,1
425,11601,1
425,24252,1
425,9267,1
444,12927,1
444,12928,1
444,24502,1
444,13748,1
444,13749,1
450,9034,1
450,6416,1
450,26,1
450,3251,1
455,9775,1
455,8309,1
455,9468,1
455,8076,1
455,9763,1
483,23699,1
483,23700,1
483,234,1
483,5779,1
487,18305,1
487,17394,1
487,18282,1
487,12402,1
494,10420,1
494,11889,1
494,11729,1
494,12241,1
502,21013,1
502,21157,1
502,29797,1
502,9086,1
507,21155,1
507,15210,1
507,14748,1
507,9159,1
507,9086,1
509,8062,1
509,347,1
509,9763,1
509,5650,1
511,17466,1
511,23583,1
511,17560,1
511,18103,1
522,173,1
522,198,1
522,197,1
522,171,1
525,20686,1
525,927,1
525,505,1
525,9268,1
527,25721,1
527,12391,1
527,7342,1
527,9583,1
534,15109,1
534,18822,1
534,23982,1
534,8263,1
550,9799,1
550,15478,1
550,23371,1
550,3817,1
556,16532,1
556,1915,1
556,6461,1
556,16547,1
561,20177,1
561,13449,1
561,15048,1
561,20176,1
575,22450,1
575,22451,1
575,16018,1
575,17626,1
589,14334,1
589,6506,1
589,14817,1
589,4755,1
589,14333,1
598,1207,1
598,22190,1
598,16075,1
598,17652,1
599,15035,1
599,15028,1
599,11309,1
599,15032,1
599,15033,1
602,14973,1
