uid	iid	label
0	2049	1
0	328	1
0	14774	1
0	3735	1
0	348	1
0	437	1
0	3420	1
0	3421	1
0	2538	1
0	9073	1
0	579	1
0	443	1
0	580	1
0	444	1
0	10917	1
0	10918	1
0	3422	1
0	581	1
0	582	1
0	26657	1
0	3423	1
0	1520	1
0	475	1
0	446	1
1	21859	1
1	15418	1
1	12674	1
1	11761	1
1	11462	1
1	11463	1
1	11464	1
1	11465	1
1	29584	1
1	11466	1
1	11467	1
1	11468	1
1	2722	1
1	25513	1
1	4016	1
1	10251	1
1	2452	1
1	11764	1
1	2233	1
1	1181	1
1	7595	1
1	24377	1
1	12500	1
1	2010	1
1	19733	1
1	26043	1
1	12501	1
1	11040	1
1	20624	1
1	6810	1
1	2724	1
1	6811	1
1	6346	1
1	8796	1
1	8236	1
1	11754	1
1	8237	1
1	22346	1
1	8272	1
1	8801	1
1	24171	1
1	4021	1
1	25610	1
1	1182	1
1	7598	1
1	2402	1
1	2719	1
1	1183	1
1	12516	1
1	449	1
1	19683	1
1	3332	1
1	11827	1
1	14245	1
1	11634	1
2	6815	1
2	6238	1
2	3950	1
2	1772	1
2	4313	1
2	27422	1
2	4125	1
2	24768	1
2	4126	1
2	1777	1
2	8708	1
2	4314	1
2	3951	1
11	1381	1
11	17813	1
11	14779	1
11	4696	1
11	3738	1
11	3854	1
11	2384	1
11	1066	1
11	12854	1
11	1168	1
11	3909	1
11	586	1
11	1581	1
11	587	1
11	12580	1
11	8161	1
11	4781	1
11	4782	1
11	4783	1
11	4784	1
11	3975	1
11	2320	1
11	1050	1
11	2896	1
11	11081	1
11	341	1
13	0	1
13	9073	1
13	443	1
13	1520	1
13	17	1
13	18	1
13	24	1
13	37	1
13	414	1
13	57	1
13	1900	1
13	72	1
13	3737	1
13	547	1
13	5662	1
13	15143	1
13	15144	1
13	4790	1
13	10826	1
13	19648	1
13	14321	1
13	15772	1
13	15583	1
13	17420	1
13	14007	1
13	9480	1
13	7348	1
13	1915	1
13	1359	1
13	13379	1
13	18815	1
13	13696	1
13	3695	1
13	16595	1
13	3698	1
13	1996	1
13	3699	1
13	20062	1
13	8221	1
13	20882	1
13	6611	1
13	8413	1
13	13308	1
13	1946	1
13	11485	1
13	18550	1
13	20039	1
13	13720	1
13	3701	1
13	2517	1
13	8612	1
13	1387	1
13	14714	1
13	1389	1
13	1919	1
13	7007	1
13	7262	1
13	2601	1
13	8156	1
13	24536	1
13	7670	1
13	10045	1
13	7608	1
13	7618	1
13	7932	1
13	26976	1
13	3702	1
13	3703	1
13	3704	1
13	2162	1
13	2163	1
13	15554	1
13	25792	1
13	24385	1
13	19575	1
13	5423	1
13	5285	1
13	1398	1
13	4792	1
13	8007	1
13	2291	1
13	8314	1
13	7190	1
13	3743	1
13	1172	1
13	4872	1
13	4931	1
13	1353	1
13	4713	1
13	4714	1
13	4715	1
13	4716	1
13	7193	1
13	5210	1
13	4794	1
13	3706	1
13	23514	1
13	5428	1
13	12759	1
13	11487	1
13	3707	1
13	19778	1
13	1923	1
13	2424	1
13	26977	1
13	23429	1
13	23430	1
13	25602	1
13	16604	1
13	13382	1
13	18102	1
13	13423	1
13	1354	1
13	20145	1
13	15573	1
13	3708	1
13	19510	1
13	15533	1
13	22952	1
13	317	1
13	321	1
13	4702	1
13	4725	1
13	4726	1
13	4727	1
13	4728	1
13	344	1
16	1387	1
16	2	1
16	549	1
16	9753	1
16	18339	1
16	1173	1
16	6998	1
16	1402	1
16	17	1
16	1174	1
16	10932	1
16	25	1
20	895	1
20	8314	1
20	4917	1
20	1910	1
20	7671	1
20	13727	1
20	5581	1
20	1924	1
20	1903	1
20	8568	1
20	10916	1
20	8148	1
20	489	1
20	951	1
20	40	1
20	1200	1
20	330	1
20	14431	1
20	3806	1
20	1490	1
20	3807	1
20	25886	1
20	7241	1
20	7242	1
20	15576	1
20	1590	1
20	4892	1
20	3987	1
20	8007	1
22	23200	1
22	16921	1
22	15028	1
22	15029	1
22	15030	1
22	15031	1
22	15032	1
22	15033	1
22	15034	1
22	15035	1
22	15036	1
22	2097	1
22	3989	1
22	4148	1
22	20115	1
22	11311	1
22	11312	1
22	20289	1
22	15809	1
22	11849	1
22	11850	1
22	21878	1
22	11851	1
22	20093	1
22	23787	1
22	20780	1
22	20740	1
22	4151	1
22	4152	1
22	12986	1
22	8929	1
22	21595	1
22	23385	1
22	21596	1
22	13633	1
22	16083	1
22	20091	1
22	13189	1
22	15596	1
22	15024	1
22	11309	1
22	15025	1
22	27412	1
22	2096	1
22	11310	1
22	4924	1
22	22908	1
22	15026	1
22	18311	1
24	4793	1
24	10186	1
24	9497	1
24	3737	1
24	14774	1
24	1585	1
24	567	1
24	9271	1
24	1111	1
24	329	1
24	931	1
24	1581	1
24	37	1
24	3741	1
24	4711	1
24	10167	1
24	977	1
24	49	1
24	9066	1
24	54	1
24	27060	1
24	4791	1
24	7121	1
24	8002	1
24	10210	1
24	9268	1
24	22660	1
24	7235	1
24	7236	1
24	7237	1
24	7238	1
24	15777	1
24	7239	1
24	7240	1
24	2874	1
24	4788	1
24	7241	1
24	7242	1
24	15576	1
24	15534	1
24	890	1
24	2333	1
24	2063	1
24	2899	1
28	646	1
28	329	1
28	2238	1
28	2240	1
28	9078	1
28	3287	1
28	1594	1
28	3872	1
28	6999	1
28	3999	1
28	8153	1
28	18478	1
28	4011	1
